cours,high,indice,low,open_,time,var
2.420 ,2.434 ,SOLUTIONS 30,2.312 ,2.314 ,2023-12-13 11:41:14.118055,+6.61%
95.980 ,96.620 ,ARKEMA,92.540 ,93.380 ,2023-12-13 11:41:14.120060,+5.10%
8.190 ,8.270 ,VOLTALIA,7.750 ,7.890 ,2023-12-13 11:41:14.121317,+2.25%
0.561 ,0.569 ,CGG,0.555 ,0.567 ,2023-12-13 11:41:14.122055,+1.96%
33.500 ,33.600 ,MERSEN,33.000 ,33.000 ,2023-12-13 11:41:14.122055,+1.82%
186.860 ,187.200 ,ESSILORLUXOTTICA,183.100 ,183.100 ,2023-12-13 11:41:14.123627,+1.80%
81.850 ,82.300 ,WENDEL,80.750 ,80.750 ,2023-12-13 11:41:14.123627,+1.55%
14.520 ,14.560 ,CARMILA,14.280 ,14.320 ,2023-12-13 11:41:14.124562,+1.54%
9.036 ,9.080 ,VIVENDI,8.928 ,8.928 ,2023-12-13 11:41:14.125563,+1.53%
192.700 ,193.300 ,SOPRA STERIA,190.100 ,190.100 ,2023-12-13 11:41:14.125563,+1.53%
110.600 ,111.600 ,SES IMAGOTAG,109.200 ,109.200 ,2023-12-13 11:41:14.126586,+1.47%
28.090 ,28.150 ,SCOR,27.650 ,27.720 ,2023-12-13 11:41:14.127563,+1.44%
2 038.500 ,2 041.500 ,HERMES INTL,2 006.500 ,2 009.000 ,2023-12-13 11:41:14.127563,+1.44%
24.960 ,25.090 ,REXEL,24.660 ,24.660 ,2023-12-13 11:41:14.128563,+1.34%
299.000 ,300.000 ,VIRBAC,291.500 ,292.000 ,2023-12-13 11:41:14.128563,+1.18%
8.955 ,8.980 ,MERCIALYS,8.855 ,8.855 ,2023-12-13 11:41:14.129563,+1.13%
26.080 ,26.240 ,IMERYS,25.840 ,25.840 ,2023-12-13 11:41:14.130563,+1.09%
19.165 ,19.435 ,FORVIA,18.875 ,18.900 ,2023-12-13 11:41:14.130563,+1.08%
449.450 ,449.950 ,L'OREAL,445.650 ,446.050 ,2023-12-13 11:41:14.131563,+1.07%
27.000 ,27.040 ,NEOEN,26.460 ,26.560 ,2023-12-13 11:41:14.132564,+1.05%
21.930 ,21.980 ,BUREAU VERITAS,21.750 ,21.760 ,2023-12-13 11:41:14.132564,+0.97%
12.712 ,12.888 ,AIR FRANCE - KLM,12.612 ,12.630 ,2023-12-13 11:41:14.132564,+0.89%
289.000 ,290.500 ,ID LOGISTICS,286.000 ,287.500 ,2023-12-13 11:41:14.134218,+0.87%
12.575 ,12.590 ,VALLOUREC,12.315 ,12.360 ,2023-12-13 11:41:14.135114,+0.84%
138.600 ,139.100 ,THALES,138.050 ,138.350 ,2023-12-13 11:41:14.136112,+0.84%
cours,high,indice,low,open_,time,var
2.374 ,2.440 ,SOLUTIONS 30,2.312 ,2.314 ,2023-12-13 14:04:49.088871,+4.58%
95.140 ,96.620 ,ARKEMA,92.540 ,93.380 ,2023-12-13 14:04:49.095886,+4.18%
112.000 ,112.400 ,SES IMAGOTAG,109.200 ,109.200 ,2023-12-13 14:04:49.100417,+2.75%
8.170 ,8.270 ,VOLTALIA,7.750 ,7.890 ,2023-12-13 14:04:49.104419,+2.00%
14.540 ,14.560 ,CARMILA,14.280 ,14.320 ,2023-12-13 14:04:49.108921,+1.68%
192.900 ,193.400 ,SOPRA STERIA,190.100 ,190.100 ,2023-12-13 14:04:49.112928,+1.63%
27.140 ,27.240 ,NEOEN,26.460 ,26.560 ,2023-12-13 14:04:49.117926,+1.57%
0.559 ,0.569 ,CGG,0.555 ,0.567 ,2023-12-13 14:04:49.122457,+1.53%
28.100 ,28.240 ,SCOR,27.650 ,27.720 ,2023-12-13 14:04:49.126460,+1.48%
19.240 ,19.435 ,FORVIA,18.875 ,18.900 ,2023-12-13 14:04:49.130024,+1.48%
81.750 ,82.300 ,WENDEL,80.750 ,80.750 ,2023-12-13 14:04:49.134980,+1.43%
2 034.500 ,2 043.500 ,HERMES INTL,2 006.500 ,2 009.000 ,2023-12-13 14:04:49.138979,+1.24%
9.004 ,9.080 ,VIVENDI,8.928 ,8.928 ,2023-12-13 14:04:49.142491,+1.17%
185.680 ,187.200 ,ESSILORLUXOTTICA,183.100 ,183.100 ,2023-12-13 14:04:49.147496,+1.15%
21.210 ,21.215 ,STELLANTIS,20.930 ,20.945 ,2023-12-13 14:04:49.152025,+1.12%
102.500 ,102.900 ,IPSEN,101.700 ,101.700 ,2023-12-13 14:04:49.156020,+0.99%
298.000 ,300.000 ,VIRBAC,291.500 ,292.000 ,2023-12-13 14:04:49.160022,+0.85%
138.600 ,139.100 ,THALES,138.050 ,138.350 ,2023-12-13 14:04:49.164545,+0.84%
22.200 ,22.220 ,RUBIS,21.940 ,22.000 ,2023-12-13 14:04:49.169549,+0.82%
16.114 ,16.162 ,ENGIE,16.024 ,16.062 ,2023-12-13 14:04:49.173073,+0.78%
33.150 ,33.600 ,MERSEN,33.000 ,33.000 ,2023-12-13 14:04:49.177074,+0.76%
24.810 ,25.090 ,REXEL,24.660 ,24.660 ,2023-12-13 14:04:49.181072,+0.73%
63.470 ,63.780 ,SAINT-GOBAIN,63.280 ,63.390 ,2023-12-13 14:04:49.185586,+0.73%
11.280 ,11.340 ,COFACE,11.170 ,11.170 ,2023-12-13 14:04:49.190588,+0.71%
25.980 ,26.240 ,IMERYS,25.840 ,25.840 ,2023-12-13 14:04:49.195101,+0.70%
