description,image,lettre,nom
"The story of perverted Hakase and his computer, named E, which is actually a young girl who resides inside it! ",https://cdn.myanimelist.net/r/50x70/images/manga/1/152357.jpg?s=8e3e8bfbe4220864bdf2f2bf3ad149e0,E,E
,https://cdn.myanimelist.net/r/50x70/images/manga/2/166514.jpg?s=b623dcd7890c18a1bb972e498b809fd0,C,C Court
,https://cdn.myanimelist.net/r/50x70/images/manga/3/271154.jpg?s=f54d9561fef103596fa7b47f6706ffa1,E,E ni Kaita Mochi wa Kaita Mochi
,https://cdn.myanimelist.net/r/50x70/images/manga/1/205419.jpg?s=b78ef1ae46ef50871cc0e25fba9af293,E,E no Genten
"A masterpiece film will be born from the meeting of a ""Movie maniac"" and a ""beautiful girl""—!?",https://cdn.myanimelist.net/r/50x70/images/manga/2/153802.jpg?s=939d32173308d96ec05ea85a1a3d28b2,E,E to T.: Eiga to Tenshi.
,https://cdn.myanimelist.net/r/50x70/images/manga/1/286437.jpg?s=71c48ec5e2a5f63096df17d273874e4a,E,E wo Kaku Futari
,https://cdn.myanimelist.net/r/50x70/images/manga/3/108745.jpg?s=eeba362a5adc1cd116d677e2f1e78ad0,E,E!? E ga Heta nanoni Mangaka ni?
,https://cdn.myanimelist.net/r/50x70/images/manga/2/37496.jpg?s=5f576d15ecc78fd9ef45c41c41e7fcf8,E,E'
"Kai Kudou is part of an elite organization of psychics known as Ashurum. Kai is sent on a mission to take custody of other unregistered illegal psychics in the city of Gald. However, he strays from hi...",https://cdn.myanimelist.net/r/50x70/images/manga/5/27683.jpg?s=14784abb4681e3af7c2c9849153c6b37,E,E's
,https://cdn.myanimelist.net/r/50x70/images/manga/1/202586.jpg?s=fed9aa0e4a87ba325b43dc1f99e44026,E,E-Class Boukensha wa Hatenaki Kishi no Yume wo Miru
,https://cdn.myanimelist.net/r/50x70/images/manga/2/238646.jpg?s=3fe6866c09a77c080b5be03c01e7038a,E,e-Heaven
Included one-shot: Zettai ni Akete wa Naranai,https://cdn.myanimelist.net/r/50x70/images/manga/3/117051.jpg?s=f46300182b9ef7ba80a16e1d63aaa8cd,E,E-ken!!
"Despite how worthless Carol is as a healer, she is grateful for her adventuring party. Some may say they treat her poorly, constantly belittling her and demanding she do more; even so, Carol can't hel...",https://cdn.myanimelist.net/r/50x70/images/manga/1/223932.jpg?s=4d5979da6b81315bc8d534f1f9c26168,E,E-Rank no Kusushi
"It all started out with Jain, an old man. Not many people really know his past except for, well, a mafia boss,and a few others. At the beginning of our story, Jain finds a girl, bloody and knocked out...",https://cdn.myanimelist.net/r/50x70/images/manga/3/118847.jpg?s=cfe5917a316238f9a36ace9c3362394f,E,E.A.r.T.h
Note: This series is on hiatus.,https://cdn.myanimelist.net/r/50x70/images/manga/1/110845.jpg?s=241f5ff11a105e25f3bd230f20637857,E,E.A.r.T.h ∞
"Like gods, doctors hold the lives of their patients in the palms of their hand. When doctors go bad who will stand up to them when the law is powerless? E.D.D is the fabled agency that works to rid so...",https://cdn.myanimelist.net/r/50x70/images/manga/3/173961.jpg?s=c2b49053e0bf80ca10a713060a60da0c,E,E.D.D: Eliminate Dangerous Doctors
"Erina Matsumoto is the person every high-school student dreams of being. She is intelligent, attractive, and has a warm personality—the ""perfect student,"" as acknowledged by classmates and teachers al...",https://cdn.myanimelist.net/r/50x70/images/manga/1/199662.jpg?s=f0174267cd138495d39fff189b06ebfb,E,E.R.I.N.A.
,https://cdn.myanimelist.net/r/50x70/images/manga/1/61463.jpg?s=973c311751a73ad604161739bece0a35,E,E.re.ga
,https://cdn.myanimelist.net/r/50x70/images/manga/2/175516.jpg?s=c0147741c8e88f187de3fb0b3b99df33,E,E.S.P! Ero Sukebe Power!
1. Shinmitsu na Himitsu♥ 2. Kanojo wa Paidoru♥ 3. Shinmitsu na Himitsu♥ Sono 2: Kusai Naka 4. Course Record 5. Curtain Call Oh! Mai Bunny 6. Off... 7. Shinmitsu na Himitsu♥ Sono 3: Hikawa-kun no Yuuut...,https://cdn.myanimelist.net/r/50x70/images/manga/2/155719.jpg?s=90832f07b88dd75ca9d5de070545ddb8,E,E.Stage Companions
"An athletically-challenged middle-school student, Hiyori Inaba, is suddenly told by her father that, ""he was once a Ninja!"". Then, the moment she opened a cellphone box her father gave her, she sudden...",https://cdn.myanimelist.net/r/50x70/images/manga/1/203700.jpg?s=d666fbb5bd17bec60f8aed05c121f2a9,E,E.T.O.
"High schooler Sugatami Akira has had an unrequited love for classmate Kitajima Miyoko since they were in grade school together, but Akira has always been too nervous to confess to Miyoko. At the same...",https://cdn.myanimelist.net/r/50x70/images/manga/3/151454.jpg?s=b2358869fadda8fa1d358e1c916ab4e1,E,E:capriccio
"Kyouko's new apartment comes ""boyfriend included!"" Nagi, the boyfriend she's never seen before caresses every nook and cranny of her body. She should hate it, but she's soaking wet... Kyouko's never k...",https://cdn.myanimelist.net/r/50x70/images/manga/2/271186.jpg?s=ba102e8ae68daca42b7581f703c9eeb9,E,E? Kareshi-tsuki Chintai Room!?
"Eagle is the story of a US Presidential election in which the Democratic Party nominee is a Japanese-American, seen largely through the eyes of a young Japanese reporter covering the campaign for a ma...",https://cdn.myanimelist.net/r/50x70/images/manga/1/96559.jpg?s=3d9100405bf6b84110f6a9d42b71998b,E,Eagle
,https://cdn.myanimelist.net/r/50x70/images/manga/2/32306.jpg?s=722050dd7b58a0941b0a4ead0bd41a21,E,Eagle Diver
An anthology by various hentai mangaka.,https://cdn.myanimelist.net/r/50x70/images/manga/3/156615.jpg?s=137cda1c214b5336a8462c1351f99e40,E,Early☆Teens
A group of girls get together to create a BL doujinshi circle.,https://cdn.myanimelist.net/r/50x70/images/manga/1/150076.jpg?s=10e13fc221460cc1cf49d03c1aa770f7,C,C!!
1. kissing number problem 2. Theobromin 3. Reizokusei Club 4. Hishigyaku Shindo 5. on 6. off 7. Katte ni Rakuen-chan (Kari) 8. Soreyuke Rakuen-chan (Kari) 9. Migi no Futari 10. C-,https://cdn.myanimelist.net/r/50x70/images/manga/2/41208.jpg?s=0f7078781c5e11678a6b2aeccb4d8d8c,C,C-
Matsumiya Kana's world is turned upside down when her father is arrested on charges of embezzling from the Ministry of Defense. She decides to escape the trauma by transferring to a private boarding s...,https://cdn.myanimelist.net/r/50x70/images/manga/3/62307.jpg?s=57069b2941f4c01a3b20115ce7f022a1,C,C-blossom: Case 729
A series of one-shots. Ultra-cute romances that come along with relationship life-lessons.,https://cdn.myanimelist.net/r/50x70/images/manga/1/15305.jpg?s=14f0b6bcf4b896cc5d912a0a6dbde788,C,C-Kei Otome Renmei
"Two youths, Ray and Saki, are leaving the majestic european St.Hainheratsu Theological School for Japan - their task? To subdue the vampires that have spread across the world. It has been a long time...",https://cdn.myanimelist.net/r/50x70/images/manga/2/34590.jpg?s=647febfab73a67d9349e3e0649a721b7,C,C-R-O-S-S
"The third World War is nearing. Each super power country is going through a communications war to prepare for it, a war to obtain the top profiles' information of enemy countries using the Russian's s...",https://cdn.myanimelist.net/r/50x70/images/manga/1/54565.jpg?s=42134e47c7b1c4d03e346e0b5b5c3285,C,C.A.T.
"During the age of exploration and discovery, Europeans who explored the world far away bring home specimens yet unknown in Europe. Those aristocrats and explorers gathered their collection to be shown...",https://cdn.myanimelist.net/r/50x70/images/manga/5/76317.jpg?s=6a7e6bb9f3bfa955f3d7b468faf9d3f6,C,C.M.B. Shinra Hakubutsukan no Jiken Mokuroku
"Sae is a flight attendant working for ANL (AeroNippon Lines, a fictious airline). She wanted to work in this field thinking on the glamourous aspect of the job since her friends at the university were...",https://cdn.myanimelist.net/r/50x70/images/manga/3/152730.jpg?s=a02a3fa2c5cc34de5c6cae477d86a9c3,C,CA to Oyobi!
,https://cdn.myanimelist.net/r/50x70/images/manga/1/193695.jpg?s=b5e503d5a37a2059864d13fd2d517b09,C,Cabaret Mama
"Mochizuki Hana has a crush on Hibino Sentarou, a novel writer when she first saw his picture on the back of the book's cover. One day she found out that a mysterious guy in her dad's monjayaki shop is...",https://cdn.myanimelist.net/r/50x70/images/manga/3/28288.jpg?s=2b3166f1f7a269408053a0616ea2caaf,C,Cabbage na Futari
,https://cdn.myanimelist.net/r/50x70/images/manga/2/41593.jpg?s=dd226e8f9fb538c596ad84fefd7f6c9b,C,"Cactus, Go to Heaven!"
,https://cdn.myanimelist.net/r/50x70/images/manga/2/287367.jpg?s=b6277b9b789ef6ca9e8a701a65ed01b5,C,Café au Lait Amame de Onegaishimasu.
,https://cdn.myanimelist.net/r/50x70/images/manga/3/186154.jpg?s=33671132912f59fa3d58f24a42273a4e,C,Café de Blood: Mayonaka no Nemuranai Chikai
,https://cdn.myanimelist.net/r/50x70/images/manga/2/23294.jpg?s=866f629e7edbc91894693d078e239fbe,C,Café de Romance
1-4. Café e Youkoso 5. Hatsukoi 6. Kanojo no Himitsu (Her Secret) 7. Red Zone 8. Ai yoku Gou wo Seisu (Love Conquer Quest) 9. My Sweet Lady 10. All Night Jam 11. Mellow,https://cdn.myanimelist.net/r/50x70/images/manga/3/183202.jpg?s=8a481177bd93a53aad1e1b3210ee4ec1,C,Café e Youkoso
